UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;CUBA;Provisório;4676
SP;CUBA;Temporário;270
SP;TURQUIA;Temporário;32
SP;REP. CENTRO AFRICANA;Residente;4
SP;CORÉIA DO SUL;Temporário;144
SP;SURINAME;Residente;21
SP;CAMARÕES;Temporário;24
SP;LETÔNIA;Residente;143
SP;BENIN;Residente;173
SP;TURQUIA;Provisório;52
SP;ANGOLA;Provisório;1727
SP;ITÁLIA;Temporário;447
SP;CHIPRE;Residente;14
SP;ARMÊNIA;Residente;64
SP;BUTÃO;Residente;8
SP;BENIN;Temporário;46
SP;COLÔMBIA;Provisório;163
SP;HONDURAS;Temporário;213
SP;ESPANHA;Temporário;269
SP;SRI LANKA;Residente;13
SP;TUNÍSIA;Temporário;11
SP;RÚSSIA;Temporário;147
SP;PANAMÁ, ZONA DO CANAL;Residente;2
SP;ETIÓPIA;Temporário;25
SP;VENEZUELA;Temporário;17997
SP;BERMUDAS;Residente;2
SP;SUÍCA;Temporário;53
SP;CORÉIA DO SUL;Provisório;66
SP;ASHMORE E CARTIER;Residente;1
SP;LESOTO;Residente;2
SP;NÍGER;Residente;2
SP;MALAVI;Residente;3
SP;GUATEMALA;Temporário;97
SP;UZBEQUISTÃO;Residente;10
SP;IUGUSLAVIA;Residente;6
SP;SANTA LÚCIA;Residente;3
SP;GÂMBIA;Residente;71
SP;MOLDOVA;Residente;13
SP;MALTA;Residente;22
SP;MYANMAR;Residente;10
SP;RUANDA;Residente;3
SP;ANTILHAS HOLÂNDESAS;Residente;4
SP;CHILE;Provisório;3
SP;MOÇAMBIQUE;Provisório;36
SP;IÊMEN;Residente;200
SP;SÃO VICENTE E GRANADINAS;Residente;4
SP;UNIÃO SOVIÉTICA;Residente;52
SP;KUAITE;Residente;8
SP;SUÉCIA;Temporário;121
SP;SEYCHELLES;Residente;2
SP;AZERBAIJÃO;Residente;5
SP;SOMÁLIA;Residente;12
SP;eritréia;Residente;1
SP;KOSOVO;Residente;2
SP;PAÍSES BAIXOS;Temporário;50
SP;IRÃ;Temporário;91
SP;NIGÉRIA;Provisório;312
SP;POLÔNIA;Temporário;81
SP;MARROCOS;Provisório;736
SP;ISRAEL;Provisório;13
SP;BANGLADESH;Provisório;329
SP;REP. DOMINICANA;Provisório;193
SP;POLÔNIA;Provisório;4
SP;VENEZUELA;Provisório;1098
SP;UCRÂNIA;Provisório;9
SP;EGITO;Provisório;103
SP;SERRA LEOA;Provisório;16
SP;MALÁSIA;Provisório;7
SP;BANGLADESH;Temporário;358
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;135
SP;SÍRIA;Provisório;34
SP;CONGO;Provisório;523
SP;SRI LANKA;Temporário;33
SP;AFEGANISTÃO;Temporário;1395
SP;SÍRIA;Temporário;18
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;45
SP;TOGO;Provisório;302
SP;TAILÂNDIA;Provisório;37
SP;CANADÁ;Temporário;72
SP;PANAMÁ;Temporário;50
SP;LÍBANO;Temporário;70
SP;SENEGAL;Temporário;40
SP;ESTADOS UNIDOS;Provisório;17
SP;IÊMEN;Provisório;17
SP;GUINÉ;Provisório;173
SP;TUNÍSIA;Provisório;322
SP;CONGO;Temporário;23
SP;RÚSSIA;Provisório;126
SP;QUÊNIA;Temporário;104
SP;HONG-KONG (R.A.E.);Temporário;6
SP;HUNGRIA;Temporário;9
SP;FILIPINAS;Provisório;90
SP;TURCOMENISTÃO;Residente;2
SP;REINO UNIDO;Provisório;3
SP;UCRÂNIA;Temporário;127
SP;AUSTRÁLIA;Temporário;42
SP;EL SALVADOR;Temporário;82
SP;MAURITÂNIA;Provisório;222
SP;GUINÉ EQUATORIAL;Temporário;17
SP;COSTA DO MARFIM;Provisório;19
SP;URUGUAI;Temporário;46
SP;AFRICA DO SUL;Temporário;47
SP;COSTA DO MARFIM;Temporário;16
SP;AFEGANISTÃO;Provisório;83
SP;SRI LANKA;Provisório;2
SP;INDONÉSIA;Temporário;64
SP;MÉXICO;Provisório;20
SP;NAMÍBIA;Residente;8
SP;LÍBIA;Residente;209
SP;GÂMBIA;Provisório;20
SP;TAILÂNDIA;Temporário;10
SP;DOMINICA;Residente;29
SP;SENEGAL;Provisório;82
SP;PALESTINA;Provisório;54
SP;SAMOA OCIDENTAL;Residente;3
SP;BURUNDI;Provisório;1
SP;BENIN;Provisório;100
SP;GANA;Temporário;35
SP;ANTÍGUA;Residente;7
SP;ALEMANHA;Provisório;9
SP;IRÃ;Provisório;112
SP;GUINÉ BISSAU;Provisório;22
SP;DJIBUTI;Residente;2
SP;MALI;Provisório;41
SP;SURINAME;Provisório;8
SP;TANZÂNIA;Provisório;27
SP;FILIPINAS;Temporário;292
SP;SOMÁLIA;Provisório;15
SP;ISRAEL;Temporário;41
SP;BELARUS;Provisório;4
SP;NACIONALIDADE INDEFINIDA;Provisório;5
SP;GUINÉ EQUATORIAL;Provisório;7
SP;EGITO;Temporário;19
SP;IRLANDA;Temporário;16
SP;PARAGUAI;Provisório;27
SP;BURKINA FASO;Temporário;4
SP;SÃO CRISTOVÃO E NEVIS;Residente;10
SP;NEPAL;Provisório;14
SP;PAQUISTÃO;Provisório;42
SP;MAURITÂNIA;Residente;47
SP;CAMARÕES;Provisório;33
SP;BURUNDI;Temporário;6
SP;BÉLGICA;Temporário;49
SP;ERITRÉIA;Temporário;2
SP;LITUÂNIA;Temporário;6
SP;COMORES;Temporário;1
SP;MARROCOS;Temporário;27
SP;INDIA;Provisório;20
SP;JORDÂNIA;Provisório;7
SP;DINAMARCA;Temporário;24
SP;BURKINA FASO;Provisório;5
SP;PAQUISTÃO;Temporário;77
SP;ARMÊNIA;Provisório;8
SP;TAIWAN, PROVINCIA DA CHINA;Temporário;21
SP;VIETINA;Provisório;1
SP;EQUADOR;Provisório;12
SP;CROÁCIA;Temporário;55
SP;CINGAPURA;Temporário;8
SP;TONGA;Temporário;7
SP;EMIRADOS ÁRABES;Residente;16
SP;NEPAL;Temporário;13
SP;GABÃO;Temporário;13
SP;GUIANA;Provisório;5
SP;NICARÁGUA;Provisório;8
SP;NOVA ZELÂNDIA;Temporário;24
SP;ARMÊNIA;Temporário;2
SP;DOMINICA;Provisório;1
SP;GUIANA FRANCESA;Temporário;4
SP;HAITI;Provisório;29
SP;NICARÁGUA;Temporário;38
SP;IÊMEN;Temporário;3
SP;ITÁLIA;Provisório;5
SP;CAMBOJA;Residente;6
SP;SÉRVIA;Temporário;15
SP;GUADALUPE;Temporário;1
SP;QUÊNIA;Provisório;3
SP;NAMÍBIA;Provisório;25
SP;CROÁCIA;Provisório;4
SP;PORTUGAL;Provisório;9
SP;JAMAICA;Temporário;9
SP;TOGO;Temporário;12
SP;CABO VERDE;Provisório;4
SP;CATAR;Residente;2
SP;LETÔNIA;Provisório;6
SP;GUIANA;Temporário;11
SP;GUATEMALA;Provisório;3
SP;BOTSUANA;Provisório;3
SP;BULGÁRIA;Provisório;2
SP;SÉRVIA;Provisório;3
SP;ESLOVÊNIA;Provisório;1
SP;REPÚBLICA TCHECA;Temporário;10
SP;ESLOVÊNIA;Temporário;3
SP;EL SALVADOR;Provisório;1
SP;IRAQUE;Temporário;2
SP;FRANÇA;Provisório;5
SP;ARGÉLIA;Temporário;5
SP;JAMAICA;Provisório;32
SP;PANAMÁ;Provisório;2
SP;GRANADA;Residente;4
SP;ARGENTINA;Provisório;23
SP;INDONÉSIA;Provisório;4
SP;ROMÊNIA;Provisório;3
SP;DOMINICA;Temporário;8
SP;LAOS;Residente;1
SP;FINLÂNDIA;Temporário;25
SP;SAMOA OCIDENTAL;Temporário;19
SP;HUNGRIA;Provisório;3
SP;GUIANA FRANCESA;Provisório;5
SP;BELARUS;Temporário;7
SP;ARGÉLIA;Provisório;21
SP;TRINIDAD E TOBAGO;Provisório;4
SP;MALI;Temporário;4
SP;FIJI, ILHAS;Temporário;1
SP;TANZÂNIA;Temporário;8
SP;MADAGASCAR;Temporário;219
SP;CHADE;Temporário;3
SP;VANUATU;Residente;3
SP;IRAQUE;Provisório;10
SP;SURINAME;Temporário;8
SP;ZÂMBIA;Provisório;1
SP;VIETINA;Temporário;9
SP;SAARA OCIDENTAL;Temporário;1
SP;MADAGASCAR;Provisório;1
SP;CHIPRE;Temporário;5
SP;LÍBIA;Provisório;2
SP;SUDÃO;Temporário;4
SP;SERRA LEOA;Temporário;1
SP;LESOTO;Provisório;1
SP;UGANDA;Temporário;6
SP;MALTA;Temporário;3
SP;RUANDA;Provisório;8
SP;PAÍSES BAIXOS;Provisório;6
SP;PALESTINA;Temporário;4
SP;ROMÊNIA;Temporário;35
SP;SUÉCIA;Provisório;2
SP;ETIÓPIA;Provisório;5
SP;REP. CENTRO AFRICANA;Provisório;1
SP;CHIPRE;Provisório;1
SP;MADAGASCAR;Residente;5
SP;ALBÂNIA;Provisório;1
SP;MOLDOVA;Provisório;2
SP;CAZAQUISTÃO;Provisório;4
SP;REP. MONTENEGRO;Temporário;10
SP;BELIZE;Temporário;2
SP;CAZAQUISTÃO;Temporário;4
SP;GRANADA;Temporário;1
SP;ESLOVÁQUIA;Temporário;3
SP;GEÓRGIA;Temporário;5
SP;BULGÁRIA;Temporário;8
SP;NÍGER;Provisório;1
SP;ZIMBÁBUE;Temporário;59
SP;SANTA LÚCIA;Temporário;3
SP;GUINÉ;Temporário;5
SP;CHADE;Provisório;1
SP;CANADÁ;Provisório;2
SP;NAMÍBIA;Temporário;2
SP;ARÁBIA SAUDITA;Temporário;2
SP;MALÁSIA;Temporário;47
SP;JAPÃO;Provisório;5
SP;AUSTRÁLIA;Provisório;1
SP;ALBÂNIA;Temporário;4
SP;LITUÂNIA;Provisório;1
SP;FINLÂNDIA;Provisório;1
SP;MALAVI;Temporário;3
SP;UZBEQUISTÃO;Temporário;2
SP;OMÃ, SULTANATO DE;Temporário;1
SP;COSTA RICA;Provisório;1
SP;BELIZE;Residente;1
SP;PAPUA, NOVA GUINÉ;Temporário;1
SP;GUINÉ EQUATORIAL;Residente;5
SP;TURCOMENISTÃO;Temporário;1
SP;GIBRALTAR;Residente;2
SP;MONGÓLIA;Residente;16
SP;MÔNACO;Residente;1
SP;ESTÔNIA;Temporário;5
SP;ERITRÉIA;Residente;2
SP;BAREINE;Residente;1
SP;ZÂMBIA;Temporário;2
SP;COMORES;Residente;1
SP;LIECHTENSTEIN;Residente;5
SP;NÍGER;Temporário;2
SP;MASCATE;Residente;2
SP;KABARDINO BALKAR;Residente;1
SP;GAZA;Residente;1
SP;MACAU (R.A.E.);Residente;4
SP;TURCAS E CAICOS;Residente;1
SP;SAN MARINO;Residente;1
SP;TONGA;Residente;1
SP;NACIONALIDADE INDEFINIDA;Residente;4
SP;ILHAS BALEARES;Residente;1
SP;INFNI;Residente;2
PA;JAPÃO;Residente;1838
PA;VENEZUELA;Residente;1718
PA;FILIPINAS;Temporário;69
PA;ESTADOS UNIDOS;Residente;646
PA;MOÇAMBIQUE;Temporário;41
PA;FRANÇA;Residente;387
PA;REINO UNIDO;Residente;124
PA;CUBA;Residente;532
PA;PORTUGAL;Residente;1422
PA;CUBA;Provisório;285
PA;CHINA;Residente;501
PA;MOÇAMBIQUE;Residente;15
PA;NORUEGA;Temporário;17
PA;VENEZUELA;Temporário;1039
PA;COLÔMBIA;Residente;1373
PA;TRINIDAD E TOBAGO;Residente;3
PA;CHILE;Residente;108
PA;POLÔNIA;Temporário;17
PA;SAO TOMÉ E PRÍNCIPE;Residente;18
PA;URUGUAI;Residente;55
PA;LÍBANO;Residente;109
PA;DINAMARCA;Residente;15
PA;PORTUGAL;Temporário;33
PA;RÚSSIA;Residente;15
PA;CANADÁ;Temporário;29
PA;GUIANA FRANCESA;Residente;51
PA;HAITI;Temporário;42
PA;COLÔMBIA;Temporário;900
PA;ESPANHA;Residente;185
PA;VENEZUELA;Provisório;193
PA;BOLÍVIA;Residente;172
PA;BÉLGICA;Residente;38
PA;CROÁCIA;Temporário;21
PA;SURINAME;Temporário;158
PA;PERU;Residente;453
PA;ITÁLIA;Residente;421
PA;ALEMANHA;Residente;165
PA;ISRAEL;Residente;9
PA;ANGOLA;Residente;28
PA;ARGENTINA;Residente;195
PA;GANA;Temporário;12
PA;MÉXICO;Residente;47
PA;SAO TOMÉ E PRÍNCIPE;Temporário;24
PA;BENIN;Temporário;22
PA;PARAGUAI;Temporário;28
PA;SURINAME;Residente;84
PA;AUSTRÁLIA;Residente;21
PA;SUÉCIA;Residente;21
PA;ANGOLA;Temporário;34
PA;JAMAICA;Residente;4
PA;CANADÁ;Residente;78
PA;PAÍSES BAIXOS;Residente;164
PA;GUATEMALA;Residente;6
PA;ESTADOS UNIDOS;Temporário;64
PA;HAITI;Provisório;1
PA;REP. DOMINICANA;Residente;14
PA;REINO UNIDO;Temporário;21
PA;AUSTRIA;Temporário;4
PA;FINLÂNDIA;Residente;5
PA;PARAGUAI;Residente;62
PA;NIGÉRIA;Provisório;3
PA;DINAMARCA;Temporário;3
PA;NIGÉRIA;Temporário;12
PA;CAZAQUISTÃO;Residente;1
PA;CHINA;Temporário;32
PA;MARROCOS;Residente;20
PA;HAITI;Residente;37
PA;BOLÍVIA;Temporário;39
PA;MÉXICO;Temporário;15
PA;CAMARÕES;Residente;5
PA;SENEGAL;Residente;90
PA;CHILE;Temporário;22
PA;SÍRIA;Residente;29
PA;IRÃ;Residente;11
PA;INDIA;Residente;49
PA;URUGUAI;Temporário;2
PA;SUÍCA;Residente;107
PA;EGITO;Residente;12
PA;COSTA RICA;Residente;14
PA;GUINÉ BISSAU;Residente;16
PA;CABO VERDE;Residente;14
PA;UCRÂNIA;Residente;3
PA;AUSTRIA;Residente;16
PA;EQUADOR;Temporário;28
PA;CONGO;Residente;14
PA;CABO VERDE;Temporário;21
PA;INDIA;Temporário;5
PA;INDONÉSIA;Temporário;5
PA;PAQUISTÃO;Temporário;5
PA;AFRICA DO SUL;Residente;8
PA;FRANÇA;Provisório;4
PA;CONGO;Temporário;10
PA;BURUNDI;Temporário;1
PA;GRÉCIA;Residente;11
PA;EL SALVADOR;Residente;16
PA;SANTA LÚCIA;Residente;4
PA;TUNÍSIA;Residente;4
PA;TURQUIA;Residente;6
PA;TOGO;Residente;4
PA;CORÉIA DO SUL;Residente;32
PA;GUINÉ EQUATORIAL;Residente;1
PA;MOLDOVA;Residente;2
PA;SRI LANKA;Residente;1
PA;BELIZE;Residente;1
PA;RÚSSIA;Temporário;3
PA;CAMARÕES;Temporário;5
PA;GUIANA;Residente;5
PA;GABÃO;Temporário;10
PA;BULGÁRIA;Temporário;17
PA;ROMÊNIA;Residente;7
PA;CUBA;Temporário;22
PA;BENIN;Residente;11
PA;CONGO;Provisório;1
PA;FILIPINAS;Residente;19
PA;SUÍCA;Temporário;2
PA;COSTA DO MARFIM;Residente;2
PA;GUIANA;Provisório;2
PA;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;3
PA;POLÔNIA;Residente;20
PA;BENIN;Provisório;4
PA;BANGLADESH;Residente;11
PA;NORUEGA;Residente;15
PA;BURUNDI;Residente;1
PA;EQUADOR;Residente;29
PA;NIGÉRIA;Residente;6
PA;MALÁSIA;Residente;1
PA;COSTA DO MARFIM;Temporário;2
PA;SENEGAL;Provisório;3
PA;GUINÉ EQUATORIAL;Temporário;3
PA;GUINÉ;Residente;1
PA;COLÔMBIA;Provisório;12
PA;NICARÁGUA;Temporário;3
PA;NICARÁGUA;Residente;10
PA;BULGÁRIA;Residente;3
PA;COSTA RICA;Temporário;2
PA;PANAMÁ;Residente;15
PA;MOÇAMBIQUE;Provisório;1
PA;EL SALVADOR;Temporário;2
PA;AFRICA DO SUL;Temporário;1
PA;ESPANHA;Temporário;8
PA;PERU;Temporário;176
PA;PAÍSES BAIXOS;Temporário;3
PA;UCRÂNIA;Temporário;7
PA;REPÚBLICA TCHECA;Residente;6
PA;ARGENTINA;Temporário;27
PA;TURQUIA;Temporário;3
PA;FRANÇA;Temporário;17
PA;ITÁLIA;Temporário;9
PA;HONDURAS;Temporário;8
PA;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;5
PA;CHINA;Provisório;1
PA;HUNGRIA;Residente;4
PA;INFNI;Residente;4
PA;IRLANDA;Residente;6
PA;JAPÃO;Temporário;6
PA;ESLOVÁQUIA;Residente;3
PA;GABÃO;Residente;2
PA;INDONÉSIA;Residente;21
PA;MARROCOS;Provisório;10
PA;GUINÉ BISSAU;Temporário;10
PA;AUSTRÁLIA;Temporário;2
PA;PAQUISTÃO;Residente;6
PA;HONDURAS;Residente;9
PA;JORDÂNIA;Residente;5
PA;ARGÉLIA;Residente;3
PA;ESTADOS ASSOC. DAS ANTILHAS;Residente;1
PA;QUÊNIA;Residente;1
PA;LÍBANO;Temporário;1
PA;BÉLGICA;Temporário;2
PA;PANAMÁ;Temporário;3
PA;BURKINA FASO;Temporário;1
PA;EGITO;Provisório;1
PA;RUANDA;Residente;2
PA;NOVA ZELÂNDIA;Residente;7
PA;CINGAPURA;Residente;1
PA;PERU;Provisório;10
PA;VIETINA;Residente;2
PA;NAMÍBIA;Residente;1
PA;TUNÍSIA;Provisório;2
PA;REP. DOMINICANA;Provisório;2
PA;ANTÍGUA;Temporário;1
PA;ANGOLA;Provisório;1
PA;ANTILHAS HOLÂNDESAS;Residente;2
PA;ARGENTINA;Provisório;3
PA;SENEGAL;Temporário;3
PA;BANGLADESH;Temporário;3
PA;GUIANA;Temporário;10
PA;TCHECOSLOVAQUIA;Residente;2
PA;BURKINA FASO;Residente;3
PA;LIBÉRIA;Provisório;1
PA;MÉXICO;Provisório;2
PA;PALESTINA;Provisório;1
PA;SUÉCIA;Temporário;1
PA;MALTA;Residente;1
PA;LIBÉRIA;Residente;1
PA;MALI;Temporário;1
PA;LETÔNIA;Temporário;1
PA;GUINÉ;Provisório;3
PA;ROMÊNIA;Temporário;2
PA;CROÁCIA;Residente;1
PA;EGITO;Temporário;1
PA;CABO VERDE;Provisório;1
PA;CORÉIA DO SUL;Provisório;1
PA;TAIWAN, PROVINCIA DA CHINA;Residente;2
PA;REP. CENTRO AFRICANA;Temporário;1
PA;ZÂMBIA;Residente;1
PA;TANZÂNIA;Residente;1
PA;TAILÂNDIA;Residente;1
SC;COLÔMBIA;Temporário;1163
SC;GUINÉ BISSAU;Temporário;217
SC;ARGENTINA;Residente;19817
SC;COLÔMBIA;Residente;1723
SC;VENEZUELA;Residente;44048
SC;URUGUAI;Residente;3818
SC;VENEZUELA;Temporário;50996
SC;RÚSSIA;Residente;1399
SC;TUNÍSIA;Provisório;24
SC;HAITI;Temporário;3254
SC;PERU;Residente;1035
SC;HAITI;Residente;26056
SC;CUBA;Provisório;6159
SC;CHILE;Residente;1260
SC;PARAGUAI;Residente;1529
SC;FILIPINAS;Residente;134
SC;PAÍSES BAIXOS;Residente;187
SC;ALEMANHA;Residente;1701
SC;ARGENTINA;Temporário;3007
SC;PERU;Temporário;455
SC;EQUADOR;Residente;176
SC;ESTADOS UNIDOS;Residente;1032
SC;GUINÉ BISSAU;Residente;93
SC;CHILE;Temporário;533
SC;AUSTRÁLIA;Residente;73
SC;JAPÃO;Residente;319
SC;CABO VERDE;Residente;24
SC;ANGOLA;Temporário;460
SC;PORTUGAL;Residente;1685
SC;ESPANHA;Residente;568
SC;CANADÁ;Residente;144
SC;FRANÇA;Residente;422
SC;SÃO CRISTOVÃO E NEVIS;Residente;2
SC;GUINÉ;Residente;38
SC;RÚSSIA;Temporário;114
SC;ITÁLIA;Residente;1120
SC;CHINA;Residente;746
SC;ALEMANHA;Temporário;135
SC;REINO UNIDO;Residente;434
SC;CUBA;Temporário;100
SC;CUBA;Residente;1275
SC;POLÔNIA;Residente;132
SC;BOLÍVIA;Residente;502
SC;IRLANDA;Residente;45
SC;VENEZUELA;Provisório;2139
SC;LÍBANO;Residente;271
SC;TAILÂNDIA;Provisório;1
SC;TURQUIA;Residente;81
SC;PAQUISTÃO;Provisório;6
SC;BOLÍVIA;Temporário;185
SC;HUNGRIA;Residente;26
SC;ARGENTINA;Provisório;65
SC;IRAQUE;Residente;28
SC;ESTADOS UNIDOS;Temporário;149
SC;PARAGUAI;Temporário;515
SC;UCRÂNIA;Residente;80
SC;URUGUAI;Temporário;58
SC;RÚSSIA;Provisório;55
SC;NOVA ZELÂNDIA;Residente;30
SC;PERU;Provisório;34
SC;ITÁLIA;Temporário;33
SC;SERVIA E MONTENEGRO;Residente;21
SC;AFEGANISTÃO;Residente;26
SC;EGITO;Residente;156
SC;SÍRIA;Residente;292
SC;COSTA RICA;Residente;25
SC;CORÉIA DO SUL;Residente;170
SC;IRÃ;Residente;141
SC;REP. DOMINICANA;Temporário;11
SC;DINAMARCA;Residente;28
SC;BELARUS;Residente;43
SC;SUÍCA;Residente;211
SC;ANGOLA;Residente;217
SC;INDIA;Residente;71
SC;MOLDOVA;Residente;3
SC;COSTA DO MARFIM;Residente;11
SC;MARROCOS;Residente;127
SC;AUSTRIA;Residente;133
SC;LÍBIA;Residente;18
SC;MÉXICO;Residente;163
SC;LÍBANO;Temporário;4
SC;NICARÁGUA;Residente;12
SC;CROÁCIA;Residente;6
SC;SENEGAL;Residente;290
SC;CONGO;Residente;22
SC;FILIPINAS;Provisório;11
SC;ISRAEL;Temporário;7
SC;MOÇAMBIQUE;Temporário;43
SC;AUSTRÁLIA;Temporário;9
SC;REP. DOMINICANA;Residente;203
